collected_at,corridor,stop_id,stop_name,line,direction,planned_ts,actual_ts,delay_min,status
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,551,Bonn Hbf,2026-06-13T02:13:00+00:00,2026-06-13T02:19:00+00:00,6.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,117,Bonn Hbf,2026-06-13T02:14:00+00:00,2026-06-13T02:15:00+00:00,1.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N8,Bonn Hbf,2026-06-13T02:18:00+00:00,2026-06-13T02:18:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,640,Bonn Hbf,2026-06-13T02:19:00+00:00,2026-06-13T02:19:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,66,Bad Honnef (Stadtbahn),2026-06-13T02:23:00+00:00,2026-06-13T02:23:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N4,Bonn Hbf,2026-06-13T02:23:00+00:00,2026-06-13T02:23:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,66,Sankt Augustin Zentrum,2026-06-13T02:37:00+00:00,2026-06-13T02:37:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N4,Bonn Hbf,2026-06-13T02:40:00+00:00,2026-06-13T02:40:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N8,Bonn Hbf,2026-06-13T02:40:00+00:00,2026-06-13T02:40:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,640,Siegburg Bf,2026-06-13T02:41:00+00:00,2026-06-13T02:41:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,117,Niederkassel LÃ¼lsdorf Kirche,2026-06-13T02:41:00+00:00,2026-06-13T02:41:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,551,Troisdorf Bf,2026-06-13T02:46:00+00:00,2026-06-13T02:46:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,551,Bonn Hbf,2026-06-13T03:13:00+00:00,2026-06-13T03:13:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,117,Bonn Hbf,2026-06-13T03:14:00+00:00,2026-06-13T03:14:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N8,Bonn Hbf,2026-06-13T03:18:00+00:00,2026-06-13T03:18:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,640,Bonn Hbf,2026-06-13T03:19:00+00:00,2026-06-13T03:19:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,66,Bad Honnef (Stadtbahn),2026-06-13T03:23:00+00:00,2026-06-13T03:23:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N4,Bonn Hbf,2026-06-13T03:23:00+00:00,2026-06-13T03:23:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N8,Bonn Hbf,2026-06-13T03:40:00+00:00,2026-06-13T03:40:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N4,Bonn Hbf,2026-06-13T03:40:00+00:00,2026-06-13T03:40:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,640,Siegburg Bf,2026-06-13T03:41:00+00:00,2026-06-13T03:41:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,117,Niederkassel LÃ¼lsdorf Kirche,2026-06-13T03:41:00+00:00,2026-06-13T03:41:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,66,Sankt Augustin Zentrum,2026-06-13T03:44:00+00:00,2026-06-13T03:44:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,551,Troisdorf Bf,2026-06-13T03:46:00+00:00,2026-06-13T03:46:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,66,Sankt Augustin Zentrum,2026-06-13T04:07:00+00:00,2026-06-13T04:07:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,551,Bonn Hbf,2026-06-13T04:13:00+00:00,2026-06-13T04:13:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,117,Bonn Hbf,2026-06-13T04:14:00+00:00,2026-06-13T04:14:00+00:00,0.0,
2026-06-13T00:03:17Z,Kasernenstr_bleibt,de:05314:61115,Bonn Bertha-von-Suttner-Pl./Beethovenhaus,N8,Bonn Hbf,2026-06-13T04:18:00+00:00,2026-06-13T04:18:00+00:00,0.0,
